GDP,Unemployment,Inflation,InterestRate,Swiss franc/Euro,Euro/Dollar,Euro/Uk,Stoxx50,Property Prices Ger,Property Prices UK,VIX
900206.56,2.934808,105.4,1.72,1.1319,0.86179,1.1238,378.9918,132.4337,134.6633,13.055090000000002
900379.1,2.897181,105.7,1.68,1.1304,0.87176,1.1185,369.385,133.23280378459194,134.82082005988417,16.765218181818184
900551.64,2.869729,106.0,1.63,1.1167,0.89107,1.1293,369.7162,133.7340158333416,134.97628794761343,14.561185
901701.8966666667,2.861252,106.4,1.54,1.1076,0.89942,1.1218,379.9948,133.4876,136.8246,12.798813043478262
902852.1533333333,2.873677,106.3,1.43,1.0892,0.91554,1.1126,363.5922,134.86975568315472,135.38432520723524,19.159381818181817
904002.41,2.901588,106.2,1.34,1.0903,0.89092,1.1004,379.6906,135.47567594576518,135.6313260195674,15.611471428571427
902995.9500000001,2.946679,106.3,1.31,1.0981,0.87539,1.1053,382.8247,137.1975,136.3259,15.840491304347825
901989.49,3.006578,105.4,1.31,1.0978,0.85761,1.1051,398.3928,136.8413363742338,136.25239859695927,12.65459523809524
900983.03,3.077842,106.0,1.34,1.0925,0.84731,1.1113,400.9135,137.61231017160364,136.63692924100977,13.725127777777779
894886.7366666667,3.162187,105.1,1.39,1.0765,0.84927,1.11,406.949,138.1141,135.9934,13.446472727272727
888790.4433333334,3.267196,105.7,1.33,1.0648,0.84095,1.0905,407.1065,139.27162325562912,137.53101227744116,17.85998
882694.15,3.394102,105.8,1.27,1.0591,0.8946,1.1063,308.4902,140.22347966695415,138.07267791756033,57.766818181818174
856583.7000000001,3.534452,106.2,1.29,1.0545,0.87547,1.0862,310.3135,140.0671,136.3259,42.126279999999994
830473.25,3.66535,106.2,1.37,1.0574,0.88685,1.0902,322.0684,142.30176667140807,139.28943112935795,31.5157
804362.8,3.769988,106.9,1.38,1.0712,0.89878,1.1255,353.8961,143.41393414180158,139.95783925968888,33.01898181818182
827626.42,3.833678,106.4,1.32,1.0711,0.90467,1.1463,361.9895,145.3409,140.3159,26.75466956521739
850890.04,3.852613,106.2,1.28,1.0767,0.90081,1.1828,361.8238,145.83217889551904,141.47657608589424,23.846071428571427
874153.66,3.844333,105.8,1.26,1.0786,0.90947,1.1792,359.1946,147.0327263679092,142.27447680343798,26.291659090909093
876971.7466666667,3.82907,105.8,1.24,1.0739,0.90741,1.1775,355.0659,149.3463,144.3059,27.86917727272727
879789.8333333334,3.822811,104.7,1.22,1.0785,0.89605,1.1838,377.7368,149.46562137438963,144.01497122938653,23.96737142857143
882607.92,3.838086,105.3,1.21,1.0814,0.90624,1.217,394.0455,150.66934897613606,144.9566094441394,22.10006
880796.3066666666,3.864449,106.8,1.23,1.0794,0.89267,1.2171,403.1465,148.7445,146.4672,22.81084
878984.6933333334,3.878384,107.4,1.22,1.0858,0.87268,1.2098,410.0233,152.83396705553665,146.84693416496518,22.125625
877173.08,3.856173,107.9,1.22,1.1065,0.85873,1.1899,422.3626,153.87732983388437,147.88829353040308,19.33455652173913
884045.7566666666,3.795305,108.4,1.27,1.1031,0.86527,1.1979,440.0549,152.7808,149.1272,17.66355
890918.4333333333,3.703242,108.7,1.31,1.0968,0.86258,1.2146,443.8412,155.67209929578692,150.02559950291268,20.478290476190477
897791.11,3.600143,109.1,1.34,1.094,0.85872,1.2047,455.3173,156.40189841561963,151.1162300498867,17.5279
